model_clean,model,case,Time Taken (s),Memory Usage (GB),Scaled T,Scaled M,memsave
efficientnet_v2_l,efficientnet_v2_l,All,0.7670447733253241,26.808164596557617,1.0,1.0,False
efficientnet_v2_l,efficientnet_v2_l,Input (BN Eval),0.5853275060653687,26.80623340606689,0.7880858167473107,1.0,False
efficientnet_v2_l,efficientnet_v2_l,Input,0.6206146785989404,26.808164596557617,0.8090983736300373,1.0,False
efficientnet_v2_l,efficientnet_v2_l,Norm,0.617624219506979,26.808164596557617,0.8051996975736228,1.0,False
efficientnet_v2_l,efficientnet_v2_l,Surgical,0.6779810208827257,26.808164596557617,0.8838871529539463,1.0,False
efficientnet_v2_l,memsave_efficientnet_v2_l,All,0.7840075613930821,26.808164596557617,1.022114469269141,1.0,True
efficientnet_v2_l,memsave_efficientnet_v2_l,Input (BN Eval),0.5787053339881822,10.448431015014648,0.7791697145036758,0.3897761709651427,True
efficientnet_v2_l,memsave_efficientnet_v2_l,Input,0.6277032848447561,18.642004013061523,0.8183398240542218,0.6953853161381778,True
efficientnet_v2_l,memsave_efficientnet_v2_l,Norm,0.625503615476191,18.642004013061523,0.8154721044046517,0.6953853161381778,True
efficientnet_v2_l,memsave_efficientnet_v2_l,Surgical,0.6915900399908423,22.05434799194336,0.9016292973259341,0.8226728059844617,True
mistral-7b,memsave_mistral-7b,All,2.548980531282723,37.66866302490234,1.2224257200714634,0.9039834132928382,True
mistral-7b,memsave_mistral-7b,Input,1.4442284815013409,32.168663024902344,0.6926149571485977,0.7719928308337864,True
mistral-7b,memsave_mistral-7b,Norm,1.4595470689237118,32.168663024902344,0.699961358986687,0.7719928308337864,True
mistral-7b,memsave_mistral-7b,Surgical,1.7122022127732637,33.543663024902344,0.8211282892004004,0.8049904764485495,True
mistral-7b,mistral-7b,All,2.085182346403599,41.66963958740234,1.0,1.0,False
mistral-7b,mistral-7b,Input,1.5489048743620517,34.200904846191406,0.7428150718010407,0.8207631547773478,False
mistral-7b,mistral-7b,Norm,1.5577463591471314,36.16963958740234,0.7470552212538351,0.8680094175409482,False
mistral-7b,mistral-7b,Surgical,1.6676594512537122,36.013389587402344,0.7997667226226014,0.8642596850847253,False
resnet101,memsave_resnet101,All,0.4432011162862181,8.557734489440918,0.9699415836748781,1.0933840979482345,True
resnet101,memsave_resnet101,Input (BN Eval),0.3338263579644263,1.4200773239135742,0.7620312946412207,0.18144620911864504,True
resnet101,memsave_resnet101,Input,0.3611809015274048,5.242091178894043,0.7904410949054845,0.6697589346887894,True
resnet101,memsave_resnet101,Norm,0.35775987803936,5.242091178894043,0.7829542163353497,0.6697589346887894,True
resnet101,memsave_resnet101,Surgical,0.3910391088575125,6.862116813659668,0.8557855081735115,0.876742485008887,True
resnet101,resnet101,All,0.4569358853623271,7.826832771301269,1.0,1.0,False
resnet101,resnet101,Input (BN Eval),0.3445483860559761,7.826436996459961,0.7865066566156454,1.0,False
resnet101,resnet101,Input,0.3788085076957941,7.826832771301269,0.8290189495522289,1.0,False
resnet101,resnet101,Norm,0.3715896429494023,7.826832771301269,0.8132205301729595,1.0,False
resnet101,resnet101,Surgical,0.4043164802715182,7.826832771301269,0.8848429139044652,1.0,False
resnext101_64x4d,memsave_resnext101_64x4d,All,0.6408866010606289,16.746541023254395,0.9845938795249098,1.105144109266399,True
resnext101_64x4d,memsave_resnext101_64x4d,Input,0.520104899071157,9.87433385848999,0.79903698952186,0.6516307983533247,True
resnext101_64x4d,memsave_resnext101_64x4d,Norm,0.5187254101037979,9.87433385848999,0.7969176810640359,0.6516307983533247,True
resnext101_64x4d,memsave_resnext101_64x4d,Surgical,0.5633453754708171,13.32355260848999,0.8654673195371679,0.8792529549431838,True
resnext101_64x4d,resnext101_64x4d,All,0.6509146708995104,15.15326452255249,1.0,1.0,False
resnext101_64x4d,resnext101_64x4d,Input,0.5331473043188453,15.15326452255249,0.8190740325180867,1.0,False
resnext101_64x4d,resnext101_64x4d,Norm,0.5326845943927765,15.15326452255249,0.8183631714071682,1.0,False
resnext101_64x4d,resnext101_64x4d,Surgical,0.5835767788812518,15.15326452255249,0.8965488181036031,1.0,False
t5,memsave_t5,All,1.9474648162722588,31.8445405960083,1.144910917764398,0.9535176092130268,True
t5,memsave_t5,Input,1.5153652485460043,22.7976655960083,0.8908803912473512,0.6826280168560118,True
t5,memsave_t5,Norm,1.5391185907647014,22.7976655960083,0.9048449366462439,0.6826280168560118,True
t5,memsave_t5,Surgical,1.5937594240531323,25.2830171585083,0.9369681801908518,0.7570466278824155,True
t5,t5,All,1.700974971987307,33.3969087600708,1.0,1.0,False
t5,t5,Input,1.372872439213097,25.9439058303833,0.8071091355383809,0.7768355453724425,False
t5,t5,Norm,1.3900730907917025,28.8500337600708,0.8172213663835587,0.8638534173127956,False
t5,t5,Surgical,1.469195489771664,27.7728853225708,0.8637372765427305,0.8316004790172659,False
